time,x,y,z
5.162,0.668,1.222,0.063
5.163,0.530,1.304,0.162
5.164,0.402,1.283,0.093
5.164,0.407,0.992,-0.030
5.165,0.447,0.817,-0.049
5.166,0.510,0.697,0.308
5.166,0.612,0.617,0.838
5.167,0.895,0.337,0.807
5.168,1.008,0.191,0.416
5.168,0.789,0.390,0.356
5.169,0.390,0.531,0.402
5.170,0.543,0.828,0.379
5.170,0.678,0.647,0.112
5.172,0.666,0.639,0.098
5.176,0.662,0.639,0.079
5.181,0.649,0.656,0.072
5.185,0.688,0.701,0.106
5.191,0.773,0.744,0.189
5.196,0.747,0.768,0.251
5.201,0.766,0.760,0.273
5.206,0.762,0.753,0.259
5.211,0.783,0.746,0.237
5.216,0.789,0.730,0.200
5.221,0.779,0.702,0.173
5.227,0.777,0.676,0.157
5.232,0.774,0.658,0.139
5.236,0.764,0.649,0.133
5.242,0.796,0.677,0.148
5.247,0.804,0.675,0.165
5.264,0.793,0.660,0.188
5.265,0.777,0.642,0.197
5.266,0.773,0.648,0.189
5.267,0.772,0.659,0.202
5.273,0.744,0.680,0.177
5.277,0.717,0.692,0.182
5.447,0.710,0.700,0.190
5.448,0.706,0.702,0.180
5.449,0.708,0.708,0.182
5.450,0.706,0.698,0.185
5.451,0.748,0.710,0.183
5.453,0.755,0.713,0.196
5.454,0.724,0.724,0.194
5.455,0.766,0.735,0.169
5.457,0.746,0.725,0.206
5.458,0.719,0.705,0.193
5.460,0.748,0.709,0.201
5.461,0.740,0.708,0.161
5.462,0.734,0.681,0.175
5.463,0.729,0.680,0.181
5.465,0.739,0.678,0.180
5.480,0.741,0.681,0.195
5.481,0.733,0.686,0.188
5.482,0.745,0.688,0.187
5.483,0.744,0.691,0.184
5.488,0.744,0.692,0.183
5.493,0.741,0.691,0.176
5.498,0.740,0.696,0.163
5.503,0.729,0.692,0.158
5.513,0.733,0.689,0.152
5.515,0.740,0.687,0.163
5.519,0.733,0.686,0.154
5.523,0.744,0.682,0.153
5.528,0.736,0.674,0.152
5.533,0.731,0.676,0.148
5.538,0.731,0.675,0.147
5.543,0.727,0.672,0.149
5.548,0.724,0.673,0.149
5.553,0.723,0.677,0.150
5.559,0.720,0.677,0.148
5.563,0.710,0.680,0.151
5.569,0.721,0.683,0.156
5.573,0.720,0.686,0.154
5.578,0.721,0.694,0.154
5.583,0.729,0.694,0.156
5.589,0.731,0.697,0.150
5.594,0.732,0.690,0.155
5.598,0.736,0.688,0.155
5.603,0.724,0.688,0.165
5.609,0.723,0.687,0.164
5.614,0.733,0.684,0.166
5.619,0.737,0.682,0.160
5.624,0.729,0.679,0.162
5.629,0.732,0.685,0.171
5.634,0.707,0.690,0.168
5.639,0.707,0.683,0.167
5.644,0.707,0.689,0.165
5.649,0.725,0.682,0.163
5.654,0.736,0.679,0.149
5.659,0.747,0.677,0.155
5.664,0.761,0.676,0.152
5.671,0.770,0.677,0.143
5.674,0.773,0.673,0.151
5.681,0.789,0.673,0.146
5.684,0.765,0.669,0.144
5.903,0.732,0.668,0.145
5.904,0.717,0.672,0.150
5.905,0.718,0.680,0.154
5.905,0.728,0.682,0.163
5.906,0.734,0.687,0.164
5.907,0.734,0.684,0.175
5.907,0.734,0.686,0.177
5.908,0.727,0.686,0.170
5.909,0.735,0.687,0.181
5.909,0.733,0.689,0.178
5.910,0.738,0.684,0.184
5.911,0.737,0.694,0.181
