time,x,y,z
5.147,-0.130,0.971,0.005
5.148,-0.137,0.972,-0.002
5.149,-0.141,0.976,-0.004
5.150,-0.132,0.980,-0.005
5.150,-0.135,0.981,-0.003
5.151,-0.138,0.979,0.003
5.152,-0.139,0.983,0.021
5.153,-0.137,0.981,0.012
5.153,-0.134,0.983,0.011
5.154,-0.140,0.979,0.012
5.155,-0.139,0.982,0.002
5.155,-0.141,0.979,-0.001
5.156,-0.126,0.975,0.002
5.157,-0.124,0.970,0.002
5.158,-0.128,0.971,0.005
5.170,-0.130,0.968,0.008
5.171,-0.129,0.971,0.011
5.176,-0.127,0.975,0.016
5.179,-0.127,0.978,0.008
5.222,-0.134,0.976,0.009
5.222,-0.136,0.982,0.004
5.223,-0.142,0.980,0.014
5.224,-0.138,0.980,0.015
5.224,-0.143,0.980,0.007
5.225,-0.138,0.976,0.004
5.226,-0.143,0.979,0.009
5.226,-0.140,0.964,0.007
5.227,-0.135,0.974,0.004
5.236,-0.135,0.973,0.003
5.236,-0.129,0.979,0.005
5.246,-0.133,0.977,0.001
5.247,-0.126,0.979,-0.000
5.250,-0.138,0.974,-0.001
5.254,-0.130,0.975,-0.004
5.259,-0.129,0.982,0.006
5.264,-0.130,0.978,-0.002
5.269,-0.138,0.979,0.007
5.274,-0.141,0.974,-0.001
5.279,-0.142,0.979,0.005
5.284,-0.139,0.976,0.006
5.289,-0.139,0.979,0.006
5.294,-0.137,0.975,0.006
5.299,-0.138,0.976,0.013
5.304,-0.132,0.973,0.010
5.309,-0.139,0.974,0.007
5.314,-0.133,0.974,0.003
5.320,-0.136,0.976,-0.001
5.328,-0.136,0.976,0.005
5.330,-0.133,0.976,0.007
5.337,-0.136,0.975,0.009
5.345,-0.140,0.978,0.001
5.346,-0.139,0.979,0.008
5.354,-0.142,0.976,0.005
5.356,-0.147,0.975,-0.001
5.368,-0.139,0.977,0.008
5.370,-0.142,0.978,0.009
5.372,-0.142,0.971,0.002
5.387,-0.139,0.972,-0.001
5.389,-0.137,0.975,0.005
5.392,-0.135,0.977,0.012
5.394,-0.139,0.976,0.007
5.397,-0.138,0.981,0.004
5.402,-0.143,0.976,-0.001
5.406,-0.143,0.977,0.003
5.542,-0.147,0.976,0.003
5.543,-0.148,0.981,0.002
5.544,-0.146,0.974,0.003
5.544,-0.144,0.975,0.010
5.545,-0.144,0.980,0.007
5.546,-0.143,0.977,0.001
5.547,-0.140,0.969,0.014
5.547,-0.138,0.973,0.011
5.548,-0.142,0.977,0.016
5.549,-0.142,0.973,0.013
5.549,-0.131,0.974,0.008
5.550,-0.137,0.977,0.013
5.551,-0.138,0.978,0.009
5.552,-0.137,0.975,-0.002
5.563,-0.136,0.974,-0.008
5.563,-0.134,0.979,0.004
5.576,-0.137,0.974,0.011
5.576,-0.135,0.979,0.010
5.577,-0.138,0.970,0.007
5.581,-0.144,0.975,-0.001
5.586,-0.139,0.976,-0.001
5.591,-0.142,0.976,0.002
5.596,-0.142,0.979,0.001
5.601,-0.143,0.972,-0.000
5.607,-0.143,0.971,-0.017
5.615,-0.135,0.975,-0.006
5.620,-0.134,0.982,-0.009
5.877,-0.133,0.974,-0.014
5.879,-0.123,0.970,-0.008
5.881,-0.132,0.972,-0.008
5.882,-0.127,0.974,-0.009
5.884,-0.130,0.974,0.001
5.886,-0.130,0.976,0.010
5.888,-0.137,0.979,0.009
5.890,-0.130,0.977,0.004
5.890,-0.137,0.982,0.012
5.891,-0.144,0.980,0.007
