time,x,y,z
5.199,-0.362,0.902,0.071
5.201,-0.349,0.916,0.077
5.203,-0.330,0.913,0.069
5.204,-0.310,0.921,0.082
5.206,-0.303,0.915,0.073
5.208,-0.308,0.912,0.070
5.209,-0.307,0.912,0.066
5.211,-0.303,0.914,0.057
5.213,-0.299,0.911,0.056
5.215,-0.314,0.901,0.052
5.369,-0.335,0.902,0.048
5.371,-0.331,0.910,0.053
5.375,-0.363,0.929,0.067
5.377,-0.368,0.930,0.063
5.378,-0.373,0.923,0.057
5.381,-0.379,0.921,0.061
5.383,-0.385,0.917,0.054
5.384,-0.388,0.910,0.061
5.386,-0.390,0.904,0.066
5.389,-0.392,0.896,0.056
5.391,-0.393,0.897,0.065
5.394,-0.399,0.893,0.064
5.396,-0.365,0.924,0.053
5.398,-0.371,0.929,0.053
5.400,-0.369,0.925,0.047
5.401,-0.367,0.922,0.050
5.403,-0.353,0.919,0.063
5.405,-0.360,0.920,0.057
5.407,-0.362,0.919,0.058
5.408,-0.359,0.917,0.068
5.436,-0.354,0.910,0.052
5.437,-0.351,0.912,0.062
5.437,-0.347,0.911,0.063
5.438,-0.338,0.915,0.057
5.438,-0.340,0.911,0.055
5.439,-0.335,0.909,0.054
5.442,-0.330,0.908,0.052
5.447,-0.333,0.910,0.052
5.452,-0.340,0.912,0.045
5.457,-0.339,0.910,0.046
5.462,-0.339,0.920,0.047
5.467,-0.347,0.921,0.042
5.473,-0.350,0.925,0.043
5.477,-0.360,0.929,0.045
5.482,-0.361,0.930,0.050
5.488,-0.364,0.931,0.051
5.493,-0.369,0.926,0.051
5.498,-0.362,0.930,0.053
5.503,-0.357,0.917,0.054
5.508,-0.352,0.910,0.057
5.513,-0.346,0.909,0.054
5.518,-0.342,0.907,0.053
5.523,-0.330,0.906,0.048
5.528,-0.335,0.908,0.053
5.533,-0.323,0.911,0.058
5.538,-0.320,0.914,0.060
5.543,-0.319,0.927,0.061
5.548,-0.316,0.922,0.056
5.553,-0.326,0.929,0.059
5.558,-0.330,0.934,0.062
5.564,-0.333,0.932,0.062
5.568,-0.337,0.929,0.067
5.574,-0.343,0.927,0.060
5.579,-0.351,0.920,0.064
5.583,-0.359,0.919,0.064
5.589,-0.362,0.906,0.060
5.593,-0.361,0.908,0.059
5.598,-0.364,0.909,0.060
5.604,-0.365,0.911,0.061
5.611,-0.362,0.911,0.050
5.616,-0.366,0.914,0.054
5.620,-0.367,0.919,0.054
5.629,-0.369,0.916,0.057
