time,x,y,z
5.152,-0.230,0.954,0.111
5.154,-0.222,0.957,0.107
5.155,-0.222,0.949,0.113
5.156,-0.228,0.959,0.114
5.158,-0.224,0.957,0.114
5.159,-0.223,0.955,0.099
5.160,-0.223,0.953,0.107
5.162,-0.221,0.953,0.112
5.163,-0.220,0.959,0.115
5.165,-0.220,0.958,0.110
5.165,-0.224,0.957,0.113
5.166,-0.227,0.959,0.115
5.167,-0.222,0.966,0.111
5.167,-0.224,0.961,0.100
5.168,-0.222,0.961,0.110
5.169,-0.220,0.955,0.110
5.175,-0.223,0.956,0.111
5.180,-0.225,0.954,0.109
5.185,-0.221,0.956,0.114
5.190,-0.221,0.959,0.115
5.195,-0.228,0.952,0.112
5.200,-0.224,0.955,0.107
5.205,-0.228,0.956,0.108
5.210,-0.224,0.957,0.109
5.215,-0.225,0.956,0.107
5.220,-0.225,0.954,0.115
5.225,-0.224,0.957,0.113
5.230,-0.227,0.958,0.111
5.235,-0.221,0.956,0.107
5.240,-0.221,0.959,0.116
5.245,-0.220,0.957,0.104
5.250,-0.221,0.959,0.113
5.255,-0.217,0.956,0.104
5.260,-0.221,0.960,0.103
5.265,-0.218,0.954,0.108
5.270,-0.221,0.962,0.102
5.275,-0.216,0.957,0.104
5.280,-0.220,0.960,0.103
5.285,-0.220,0.957,0.102
5.290,-0.216,0.956,0.101
5.296,-0.217,0.953,0.104
5.301,-0.225,0.958,0.112
5.307,-0.223,0.957,0.109
5.312,-0.224,0.955,0.111
5.317,-0.223,0.955,0.111
5.322,-0.225,0.954,0.106
5.327,-0.220,0.953,0.109
5.332,-0.221,0.954,0.106
5.337,-0.218,0.956,0.105
5.342,-0.219,0.955,0.112
5.347,-0.220,0.957,0.104
5.352,-0.216,0.954,0.104
5.357,-0.220,0.959,0.108
5.362,-0.221,0.964,0.108
5.367,-0.223,0.958,0.106
5.372,-0.219,0.957,0.104
5.378,-0.223,0.957,0.112
5.383,-0.225,0.957,0.108
5.388,-0.219,0.962,0.105
5.393,-0.217,0.955,0.101
5.398,-0.219,0.957,0.113
5.403,-0.223,0.963,0.107
5.407,-0.217,0.960,0.107
5.413,-0.217,0.957,0.098
5.418,-0.216,0.961,0.100
5.423,-0.215,0.959,0.099
5.428,-0.216,0.960,0.104
5.433,-0.224,0.957,0.099
5.438,-0.216,0.958,0.101
5.443,-0.223,0.957,0.097
5.448,-0.220,0.958,0.101
5.453,-0.221,0.959,0.107
5.458,-0.221,0.960,0.110
5.464,-0.222,0.961,0.108
5.468,-0.221,0.955,0.102
5.473,-0.214,0.952,0.109
5.479,-0.219,0.955,0.107
5.484,-0.216,0.957,0.107
5.489,-0.222,0.960,0.111
5.754,-0.221,0.956,0.103
5.755,-0.217,0.960,0.099
5.756,-0.218,0.955,0.100
5.756,-0.214,0.960,0.099
5.757,-0.221,0.961,0.101
5.758,-0.220,0.958,0.096
5.759,-0.221,0.964,0.106
5.760,-0.215,0.956,0.098
5.760,-0.213,0.955,0.099
5.761,-0.221,0.962,0.108
5.761,-0.217,0.960,0.104
5.762,-0.221,0.961,0.097
5.763,-0.217,0.959,0.094
5.764,-0.219,0.959,0.098
6.065,-0.220,0.965,0.092
6.066,-0.221,0.961,0.104
6.067,-0.221,0.959,0.102
6.068,-0.218,0.960,0.103
6.069,-0.224,0.957,0.110
6.069,-0.221,0.967,0.109
6.070,-0.222,0.955,0.104
6.071,-0.221,0.956,0.106
6.071,-0.220,0.961,0.103
6.072,-0.222,0.957,0.098
6.073,-0.220,0.961,0.103
6.074,-0.222,0.959,0.103
6.075,-0.220,0.956,0.102
6.075,-0.217,0.953,0.114
6.076,-0.216,0.953,0.113
6.082,-0.212,0.958,0.116
6.088,-0.218,0.962,0.108
6.091,-0.212,0.959,0.107
6.097,-0.224,0.962,0.111
6.101,-0.222,0.960,0.110
6.107,-0.220,0.965,0.104
6.111,-0.219,0.965,0.108
6.117,-0.219,0.966,0.110
6.122,-0.226,0.971,0.114
6.126,-0.217,0.968,0.110
6.131,-0.221,0.971,0.108
6.136,-0.224,0.971,0.103
6.141,-0.215,0.973,0.098
6.147,-0.220,0.974,0.103
6.152,-0.214,0.968,0.103
6.157,-0.220,0.962,0.100
6.162,-0.216,0.966,0.102
6.167,-0.214,0.964,0.100
6.172,-0.215,0.957,0.100
6.177,-0.209,0.953,0.102
6.182,-0.205,0.952,0.107
6.187,-0.207,0.956,0.109
6.192,-0.212,0.953,0.106
6.197,-0.207,0.953,0.107
6.202,-0.204,0.955,0.105
6.207,-0.210,0.952,0.105
6.212,-0.205,0.949,0.116
6.217,-0.211,0.953,0.108
6.222,-0.216,0.948,0.114
6.227,-0.215,0.948,0.114
6.232,-0.220,0.950,0.117
6.238,-0.216,0.955,0.118
6.242,-0.221,0.951,0.118
6.247,-0.218,0.951,0.114
6.252,-0.216,0.958,0.114
6.257,-0.222,0.958,0.114
6.262,-0.221,0.957,0.107
6.268,-0.222,0.947,0.108
6.273,-0.222,0.959,0.111
6.278,-0.221,0.963,0.112
6.282,-0.221,0.957,0.110
6.288,-0.217,0.965,0.105
6.295,-0.223,0.965,0.105
6.299,-0.219,0.963,0.104
6.305,-0.219,0.961,0.105
6.310,-0.223,0.962,0.104
6.315,-0.228,0.962,0.107
6.320,-0.218,0.965,0.110
6.325,-0.222,0.964,0.109
6.330,-0.227,0.962,0.109
6.358,-0.228,0.956,0.107
6.359,-0.224,0.957,0.111
6.361,-0.232,0.951,0.120
6.362,-0.230,0.952,0.118
6.367,-0.233,0.954,0.117
6.368,-0.227,0.949,0.116
6.369,-0.229,0.949,0.113
6.370,-0.226,0.951,0.122
6.374,-0.229,0.948,0.111
6.379,-0.227,0.959,0.107
6.385,-0.229,0.952,0.110
6.389,-0.227,0.959,0.111
6.395,-0.222,0.955,0.108
6.400,-0.224,0.955,0.113
6.405,-0.228,0.956,0.115
6.410,-0.225,0.958,0.108
6.415,-0.224,0.954,0.123
6.420,-0.223,0.955,0.116
6.425,-0.229,0.958,0.120
6.430,-0.228,0.957,0.117
6.435,-0.230,0.959,0.116
6.671,-0.228,0.961,0.116
6.672,-0.235,0.959,0.118
6.673,-0.228,0.960,0.122
6.673,-0.228,0.963,0.117
6.674,-0.235,0.958,0.109
6.675,-0.233,0.957,0.121
6.676,-0.227,0.960,0.108
6.677,-0.233,0.964,0.114
6.677,-0.230,0.960,0.103
6.678,-0.230,0.959,0.117
6.679,-0.223,0.959,0.103
6.679,-0.228,0.954,0.117
6.680,-0.212,0.955,0.098
6.681,-0.226,0.962,0.112
6.965,-0.224,0.957,0.108
6.967,-0.219,0.964,0.105
6.968,-0.220,0.956,0.105
6.970,-0.221,0.963,0.102
6.972,-0.225,0.960,0.106
6.973,-0.218,0.962,0.108
6.975,-0.220,0.951,0.108
6.977,-0.226,0.965,0.106
6.979,-0.222,0.956,0.098
6.980,-0.222,0.966,0.108
6.982,-0.219,0.959,0.108
6.984,-0.223,0.961,0.105
6.985,-0.217,0.955,0.096
6.990,-0.215,0.953,0.106
6.992,-0.218,0.956,0.102
6.994,-0.216,0.955,0.103
6.995,-0.217,0.964,0.098
6.998,-0.209,0.957,0.094
6.999,-0.213,0.955,0.094
7.009,-0.219,0.954,0.102
7.010,-0.214,0.957,0.102
