time,x,y,z
5.002,1.004,0.162,-0.122
5.012,1.000,0.161,-0.121
5.013,0.998,0.159,-0.120
5.018,1.002,0.157,-0.123
5.022,1.002,0.148,-0.120
5.027,1.008,0.150,-0.129
5.032,1.001,0.150,-0.129
5.037,1.007,0.149,-0.140
5.042,1.005,0.150,-0.144
5.048,1.013,0.153,-0.154
5.053,1.015,0.160,-0.159
5.058,1.014,0.158,-0.169
5.063,1.011,0.160,-0.177
5.068,1.014,0.169,-0.171
5.073,1.019,0.170,-0.166
5.078,1.018,0.176,-0.172
5.083,1.014,0.183,-0.169
5.088,1.008,0.186,-0.163
5.093,1.011,0.184,-0.167
5.098,1.008,0.187,-0.175
5.103,1.007,0.190,-0.177
5.108,1.010,0.179,-0.174
5.113,1.003,0.181,-0.179
5.118,1.002,0.181,-0.178
5.123,0.993,0.177,-0.183
5.128,0.989,0.180,-0.183
5.133,0.982,0.171,-0.173
5.138,0.988,0.173,-0.176
5.143,0.992,0.167,-0.173
5.148,1.000,0.171,-0.180
5.155,0.992,0.171,-0.152
5.159,1.007,0.170,-0.163
5.163,1.015,0.176,-0.151
5.168,1.007,0.175,-0.151
5.173,1.008,0.179,-0.144
5.179,1.003,0.183,-0.144
5.184,1.000,0.180,-0.138
5.189,0.994,0.182,-0.146
5.194,0.992,0.184,-0.145
5.199,0.979,0.181,-0.148
5.204,0.986,0.177,-0.149
5.209,0.975,0.172,-0.155
5.214,0.972,0.166,-0.163
5.376,0.966,0.164,-0.161
5.378,0.956,0.161,-0.174
5.381,0.948,0.159,-0.187
5.384,0.949,0.157,-0.189
5.387,0.948,0.153,-0.192
5.390,0.952,0.153,-0.199
5.391,0.957,0.152,-0.196
5.391,0.962,0.149,-0.197
5.392,0.981,0.151,-0.185
5.394,0.980,0.157,-0.169
5.394,0.990,0.159,-0.158
5.395,1.006,0.166,-0.152
5.396,0.961,0.158,-0.176
5.396,0.971,0.157,-0.165
5.397,0.962,0.163,-0.152
5.398,0.966,0.150,-0.145
5.420,0.970,0.147,-0.135
5.421,0.978,0.135,-0.135
5.422,0.989,0.141,-0.135
5.422,0.989,0.128,-0.135
5.423,1.008,0.125,-0.144
5.918,1.015,0.122,-0.141
5.919,1.018,0.124,-0.144
5.919,1.011,0.129,-0.139
5.920,1.022,0.134,-0.153
5.921,1.042,0.144,-0.157
5.921,1.041,0.150,-0.157
5.922,1.031,0.149,-0.152
5.923,1.019,0.162,-0.158
5.923,1.012,0.172,-0.162
5.924,0.989,0.168,-0.168
5.925,0.993,0.165,-0.170
5.925,1.008,0.170,-0.172
5.926,0.955,0.104,-0.146
5.927,0.961,0.100,-0.162
5.937,0.955,0.088,-0.170
5.938,0.948,0.098,-0.182
5.940,0.912,0.096,-0.174
5.944,0.951,0.088,-0.157
5.949,0.985,0.086,-0.153
5.954,0.964,0.094,-0.165
5.959,0.937,0.090,-0.173
5.964,0.960,0.088,-0.151
5.969,0.998,0.092,-0.154
5.974,1.002,0.099,-0.152
5.979,1.012,0.096,-0.155
5.984,1.036,0.092,-0.138
5.989,1.052,0.090,-0.142
5.994,1.050,0.085,-0.136
5.999,1.059,0.080,-0.138
6.004,1.051,0.075,-0.139
6.010,1.036,0.066,-0.137
6.015,1.024,0.058,-0.136
6.020,1.020,0.057,-0.149
6.025,1.006,0.052,-0.145
6.030,0.993,0.053,-0.163
6.035,0.987,0.060,-0.157
6.040,0.977,0.066,-0.152
6.045,0.980,0.080,-0.155
6.050,0.990,0.092,-0.144
6.055,0.990,0.110,-0.139
6.060,0.993,0.117,-0.129
6.065,1.008,0.127,-0.113
6.070,1.027,0.124,-0.105
6.075,1.042,0.123,-0.086
6.081,1.050,0.118,-0.089
6.088,1.059,0.112,-0.081
6.093,1.061,0.104,-0.088
6.098,1.067,0.096,-0.080
6.114,1.070,0.086,-0.080
6.116,1.065,0.076,-0.079
6.117,1.039,0.071,-0.082
6.119,1.021,0.062,-0.091
6.122,1.010,0.057,-0.086
6.141,0.997,0.046,-0.091
6.142,0.987,0.057,-0.088
6.143,0.981,0.061,-0.106
6.145,0.978,0.076,-0.114
6.147,0.978,0.081,-0.110
6.165,0.983,0.094,-0.097
6.166,0.991,0.102,-0.108
6.166,1.010,0.113,-0.107
6.167,1.030,0.122,-0.099
6.183,1.044,0.114,-0.096
6.184,1.050,0.107,-0.092
6.185,1.060,0.111,-0.093
6.189,1.069,0.100,-0.094
6.193,1.079,0.087,-0.087
6.196,1.075,0.081,-0.084
6.201,1.071,0.070,-0.091
6.206,1.052,0.062,-0.104
6.211,1.044,0.057,-0.100
6.216,1.037,0.051,-0.103
6.221,1.009,0.049,-0.112
6.226,1.006,0.037,-0.113
6.231,1.011,0.037,-0.102
6.236,1.005,0.048,-0.116
6.241,0.993,0.052,-0.117
6.246,0.983,0.066,-0.123
6.251,0.983,0.082,-0.119
6.382,0.987,0.093,-0.118
6.383,0.986,0.099,-0.118
6.384,0.991,0.113,-0.124
6.385,0.985,0.113,-0.118
6.386,0.982,0.113,-0.119
6.387,0.981,0.105,-0.117
6.388,0.986,0.094,-0.108
6.390,0.997,0.086,-0.105
6.391,0.999,0.077,-0.104
6.393,0.984,0.068,-0.100
6.394,0.988,0.051,-0.104
6.395,0.985,0.047,-0.107
6.396,1.068,0.092,-0.092
6.398,1.076,0.086,-0.092
6.399,1.068,0.069,-0.096
6.401,1.059,0.059,-0.096
6.558,1.058,0.054,-0.095
6.560,1.064,0.047,-0.096
6.561,1.055,0.038,-0.091
6.562,1.027,0.035,-0.092
6.562,1.016,0.034,-0.094
6.563,1.003,0.043,-0.098
6.564,0.994,0.049,-0.087
6.565,0.989,0.059,-0.087
6.566,0.981,0.071,-0.086
6.566,0.980,0.076,-0.086
6.567,0.994,0.078,-0.083
6.568,0.998,0.080,-0.076
6.569,1.068,0.039,-0.045
6.570,1.047,0.031,-0.051
6.571,1.039,0.021,-0.055
6.763,1.020,0.016,-0.065
6.764,1.005,0.003,-0.066
6.764,1.013,-0.001,-0.071
6.765,1.015,-0.003,-0.062
6.766,1.020,0.001,-0.055
6.766,1.022,0.000,-0.053
6.767,1.028,0.017,-0.043
6.768,1.029,0.032,-0.044
6.768,1.028,0.044,-0.055
6.769,1.026,0.060,-0.050
6.770,1.012,0.065,-0.054
6.771,1.001,0.077,-0.054
6.772,1.037,-0.006,-0.046
