time,x,y,z
5.005,0.032,1.001,0.076
5.010,0.045,0.999,0.059
5.015,0.045,1.002,0.045
5.020,0.048,1.003,0.032
5.025,0.047,1.001,0.038
5.030,0.055,1.002,0.062
5.036,0.048,1.005,0.090
5.041,0.052,1.018,0.120
5.046,0.074,1.006,0.140
5.051,0.072,0.997,0.122
5.056,0.067,0.992,0.100
5.061,0.060,0.988,0.068
5.066,0.070,0.982,0.036
5.258,0.061,0.971,0.021
5.259,0.050,0.974,0.015
5.261,0.043,0.982,0.024
5.262,0.041,0.988,0.027
5.263,0.051,0.990,0.031
5.264,0.013,1.011,0.034
5.266,0.017,1.030,0.052
5.267,0.019,1.032,0.080
5.268,0.040,1.017,0.100
5.269,0.032,1.014,0.105
5.271,0.039,1.013,0.104
5.273,0.052,1.006,0.089
5.274,0.052,1.030,0.121
5.275,0.050,1.027,0.118
5.278,0.049,1.019,0.129
5.279,0.041,1.022,0.128
5.311,0.030,1.028,0.116
5.312,0.025,1.034,0.128
5.313,0.023,1.046,0.133
5.315,0.015,1.056,0.138
5.316,0.010,1.061,0.140
5.317,-0.010,1.068,0.140
5.319,-0.033,1.095,0.142
5.322,-0.043,1.108,0.135
5.324,-0.039,1.077,0.138
5.330,-0.046,1.054,0.124
5.332,-0.026,1.051,0.126
5.337,-0.034,1.053,0.118
5.342,-0.052,1.055,0.108
5.348,-0.068,1.045,0.080
5.353,-0.107,1.047,0.035
5.358,-0.135,1.048,0.013
5.363,-0.173,1.047,-0.007
5.368,-0.214,1.056,-0.009
5.373,-0.243,1.056,-0.011
5.378,-0.279,1.057,-0.026
5.383,-0.300,1.063,-0.045
5.388,-0.315,1.063,-0.063
5.393,-0.311,1.055,-0.090
5.398,-0.315,1.050,-0.088
5.403,-0.303,1.034,-0.087
5.408,-0.296,1.014,-0.089
5.413,-0.276,0.992,-0.067
5.418,-0.255,0.974,-0.052
5.423,-0.236,0.955,-0.027
5.664,-0.214,0.948,0.003
5.666,-0.218,0.959,0.023
5.667,-0.205,0.958,0.052
5.669,-0.193,0.952,0.063
5.671,-0.195,0.960,0.062
5.672,-0.180,0.967,0.063
5.674,-0.165,0.980,0.059
5.676,-0.151,0.994,0.061
5.677,-0.133,1.008,0.051
5.678,-0.116,1.026,0.048
5.678,-0.101,1.039,0.043
5.679,-0.091,1.058,0.032
5.680,-0.033,0.900,-0.074
5.681,-0.038,0.895,-0.090
5.681,-0.039,0.894,-0.104
5.682,-0.031,0.902,-0.109
5.687,-0.029,0.912,-0.115
5.691,-0.029,0.912,-0.114
5.695,-0.033,0.915,-0.086
5.701,-0.047,0.926,-0.072
5.706,-0.054,0.927,-0.041
5.712,-0.074,0.935,-0.027
5.720,-0.112,0.944,0.022
5.722,-0.124,0.942,0.028
5.729,-0.143,0.943,0.026
5.731,-0.173,0.943,0.014
5.744,-0.185,0.937,-0.003
5.746,-0.198,0.936,-0.025
5.748,-0.209,0.926,-0.051
5.754,-0.224,0.917,-0.092
5.756,-0.244,0.918,-0.119
5.761,-0.272,0.926,-0.150
5.766,-0.291,0.941,-0.175
5.771,-0.311,0.939,-0.194
5.776,-0.323,0.944,-0.198
5.781,-0.283,0.943,-0.195
5.786,-0.239,0.940,-0.188
5.791,-0.193,0.947,-0.167
5.796,-0.158,0.939,-0.133
5.801,-0.126,0.932,-0.097
5.806,-0.109,0.910,-0.068
5.811,-0.084,0.894,-0.038
5.816,-0.054,0.885,-0.023
5.822,-0.024,0.895,-0.010
5.827,0.009,0.901,-0.009
5.831,0.040,0.910,0.011
5.837,0.049,0.920,0.029
5.841,0.050,0.926,0.045
5.846,0.058,0.938,0.071
5.851,0.042,0.945,0.081
5.856,0.034,0.955,0.098
5.861,0.030,0.963,0.104
5.868,0.019,0.963,0.109
5.874,0.013,0.951,0.098
5.877,-0.003,0.971,0.096
6.051,-0.033,0.978,0.081
6.053,-0.053,0.984,0.083
6.055,-0.064,1.016,0.077
6.057,-0.068,1.071,0.044
6.059,-0.079,1.092,0.023
6.061,-0.089,1.104,-0.004
6.064,-0.093,1.094,-0.022
6.066,-0.105,1.101,-0.058
6.069,-0.117,1.087,-0.085
6.072,-0.122,1.082,-0.093
6.075,-0.123,1.071,-0.094
6.078,-0.120,1.036,-0.085
6.081,-0.130,0.966,0.068
6.085,-0.122,0.963,0.067
6.086,-0.126,0.964,0.062
6.088,-0.135,0.957,0.065
6.090,-0.129,0.957,0.079
6.091,-0.133,0.972,0.082
6.094,-0.135,0.976,0.082
6.095,-0.141,0.976,0.068
6.098,-0.134,0.978,0.071
6.100,-0.127,0.984,0.076
6.130,-0.123,0.986,0.067
6.130,-0.124,0.982,0.071
6.131,-0.122,0.972,0.081
6.132,-0.117,0.975,0.090
6.132,-0.109,0.968,0.105
6.133,-0.110,0.971,0.126
