time,x,y,z
5.100,0.126,0.977,0.152
5.100,0.123,0.981,0.162
5.101,0.127,0.979,0.155
5.102,0.127,0.981,0.146
5.102,0.123,0.981,0.151
5.103,0.127,0.976,0.152
5.104,0.131,0.979,0.154
5.104,0.128,0.979,0.151
5.105,0.125,0.975,0.153
5.106,0.128,0.977,0.156
5.106,0.125,0.980,0.148
5.107,0.126,0.976,0.153
5.108,0.114,0.980,0.148
5.108,0.118,0.979,0.143
5.115,0.118,0.979,0.159
5.118,0.120,0.981,0.146
5.123,0.118,0.976,0.150
5.128,0.114,0.981,0.153
5.227,0.116,0.981,0.152
5.228,0.117,0.987,0.157
5.229,0.115,0.980,0.159
5.229,0.116,0.985,0.147
5.230,0.113,0.982,0.159
5.231,0.111,0.982,0.154
5.232,0.109,0.980,0.155
5.232,0.111,0.978,0.152
5.233,0.111,0.981,0.154
5.234,0.112,0.979,0.144
5.234,0.109,0.979,0.148
5.235,0.110,0.982,0.144
5.236,0.117,0.982,0.156
5.237,0.112,0.985,0.154
5.452,0.118,0.982,0.153
5.453,0.116,0.979,0.145
5.454,0.109,0.974,0.150
5.455,0.117,0.983,0.145
5.455,0.112,0.979,0.141
5.456,0.121,0.976,0.151
5.457,0.118,0.982,0.150
5.457,0.113,0.982,0.151
5.458,0.112,0.977,0.150
5.459,0.114,0.982,0.145
5.460,0.116,0.981,0.147
5.460,0.115,0.979,0.141
5.461,0.107,0.978,0.150
5.462,0.107,0.983,0.146
5.467,0.100,0.987,0.151
5.471,0.111,0.982,0.151
5.476,0.103,0.977,0.145
5.481,0.107,0.979,0.152
5.486,0.107,0.982,0.137
5.491,0.111,0.981,0.140
5.496,0.108,0.979,0.137
5.501,0.109,0.983,0.134
5.506,0.110,0.983,0.139
5.511,0.107,0.983,0.139
5.516,0.111,0.982,0.139
5.521,0.114,0.976,0.141
5.526,0.114,0.975,0.136
5.531,0.114,0.980,0.138
5.536,0.116,0.987,0.142
5.543,0.113,0.980,0.141
5.548,0.111,0.983,0.144
5.553,0.116,0.986,0.140
5.558,0.112,0.985,0.142
5.563,0.113,0.985,0.146
5.568,0.110,0.980,0.145
5.573,0.107,0.979,0.137
5.578,0.116,0.988,0.141
5.583,0.111,0.980,0.139
5.588,0.116,0.969,0.135
5.593,0.103,0.975,0.141
5.599,0.101,0.981,0.132
5.603,0.107,0.981,0.140
5.611,0.110,0.981,0.145
5.613,0.105,0.987,0.137
5.630,0.104,0.982,0.129
5.632,0.105,0.987,0.137
5.634,0.109,0.986,0.137
5.636,0.112,0.986,0.144
5.638,0.114,0.985,0.143
5.669,0.109,0.985,0.140
5.672,0.113,0.990,0.136
5.674,0.114,0.988,0.140
5.676,0.109,0.985,0.138
5.680,0.110,0.986,0.135
5.682,0.116,0.983,0.136
5.685,0.110,0.981,0.131
5.688,0.112,0.983,0.140
5.690,0.113,0.983,0.136
5.694,0.109,0.978,0.125
5.697,0.116,0.979,0.140
5.697,0.112,0.979,0.144
5.714,0.116,0.979,0.141
5.715,0.111,0.978,0.141
5.715,0.108,0.982,0.141
5.718,0.107,0.980,0.143
5.723,0.108,0.978,0.141
5.727,0.113,0.983,0.135
5.733,0.109,0.980,0.133
5.737,0.112,0.980,0.138
5.746,0.110,0.983,0.135
5.747,0.113,0.985,0.137
5.980,0.114,0.983,0.130
5.980,0.114,0.981,0.130
5.981,0.113,0.987,0.134
5.982,0.111,0.984,0.131
5.983,0.103,0.987,0.134
5.983,0.109,0.984,0.142
5.984,0.107,0.984,0.140
5.985,0.106,0.988,0.135
5.985,0.108,0.984,0.142
5.986,0.108,0.980,0.146
5.987,0.112,0.982,0.130
5.987,0.112,0.992,0.134
5.988,0.107,0.984,0.136
5.989,0.108,0.980,0.130
5.995,0.112,0.981,0.130
6.111,0.106,0.986,0.138
6.112,0.111,0.984,0.133
6.113,0.105,0.977,0.129
6.114,0.104,0.980,0.143
6.114,0.103,0.983,0.149
6.115,0.105,0.985,0.149
6.116,0.106,0.981,0.141
6.116,0.112,0.980,0.148
6.117,0.113,0.980,0.142
6.118,0.113,0.983,0.134
6.118,0.109,0.982,0.136
6.119,0.108,0.982,0.144
6.120,0.106,0.983,0.142
6.120,0.111,0.980,0.141
6.344,0.109,0.981,0.140
6.345,0.109,0.984,0.139
6.345,0.108,0.983,0.144
6.346,0.105,0.983,0.142
6.347,0.106,0.981,0.144
6.348,0.103,0.985,0.144
6.348,0.104,0.988,0.141
6.349,0.101,0.984,0.142
6.350,0.101,0.985,0.135
