time,x,y,z
5.002,-0.182,0.952,0.081
5.007,-0.180,0.952,0.075
5.014,-0.199,0.943,0.078
5.017,-0.212,0.935,0.082
5.022,-0.229,0.942,0.074
5.027,-0.233,0.940,0.062
5.032,-0.239,0.948,0.061
5.039,-0.251,0.961,0.049
5.042,-0.262,0.970,0.047
5.048,-0.256,0.978,0.057
5.052,-0.261,0.981,0.053
5.059,-0.261,0.977,0.046
5.063,-0.269,0.973,0.051
5.221,-0.272,0.968,0.056
5.223,-0.273,0.959,0.063
5.225,-0.280,0.951,0.059
5.227,-0.279,0.944,0.027
5.229,-0.285,0.936,0.005
5.232,-0.276,0.924,-0.011
5.234,-0.254,0.909,-0.029
5.236,-0.274,0.917,-0.034
5.238,-0.299,0.926,-0.028
5.241,-0.309,0.929,0.001
5.242,-0.302,0.924,0.003
5.245,-0.278,0.916,0.004
5.247,-0.146,0.965,0.008
5.249,-0.195,0.940,0.001
5.250,-0.241,0.950,0.009
5.251,-0.165,0.960,0.023
5.252,-0.180,0.956,0.031
5.253,-0.216,0.954,0.034
5.254,-0.242,0.944,0.069
5.265,-0.195,0.950,0.091
5.266,-0.205,0.944,0.058
5.269,-0.227,0.943,0.011
5.274,-0.231,0.940,0.000
5.280,-0.216,0.936,-0.002
5.284,-0.215,0.934,0.007
5.290,-0.223,0.932,0.001
5.294,-0.225,0.930,0.004
5.299,-0.229,0.935,0.005
5.304,-0.230,0.940,0.020
5.309,-0.238,0.945,0.023
5.552,-0.243,0.960,0.027
5.552,-0.242,0.965,0.020
5.553,-0.242,0.971,0.021
5.554,-0.247,0.979,0.024
5.554,-0.245,0.981,0.022
5.555,-0.251,0.982,0.014
5.556,-0.250,0.977,0.016
5.556,-0.259,0.973,0.014
5.557,-0.258,0.970,0.014
5.558,-0.252,0.970,0.004
5.558,-0.251,0.959,0.017
5.559,-0.256,0.955,0.014
5.560,-0.271,0.947,0.033
5.561,-0.273,0.963,0.026
5.566,-0.268,0.965,0.036
5.571,-0.262,0.966,0.042
5.576,-0.260,0.967,0.038
5.581,-0.261,0.967,0.048
5.586,-0.253,0.969,0.045
5.591,-0.254,0.964,0.052
5.596,-0.251,0.962,0.055
5.601,-0.251,0.959,0.049
5.606,-0.254,0.944,0.053
5.611,-0.253,0.929,0.061
5.616,-0.263,0.922,0.060
5.621,-0.258,0.918,0.053
5.627,-0.265,0.920,0.054
5.631,-0.267,0.917,0.047
5.637,-0.277,0.920,0.041
5.642,-0.289,0.923,0.050
5.646,-0.294,0.935,0.053
5.651,-0.292,0.938,0.052
5.657,-0.301,0.950,0.052
5.662,-0.313,0.945,0.051
5.666,-0.318,0.953,0.059
5.672,-0.327,0.949,0.056
5.677,-0.340,0.952,0.059
5.682,-0.353,0.949,0.054
5.687,-0.345,0.943,0.059
5.692,-0.329,0.939,0.051
5.697,-0.314,0.951,0.057
5.704,-0.338,0.944,0.047
5.707,-0.353,0.943,0.046
5.712,-0.359,0.948,0.043
5.717,-0.361,0.961,0.051
5.722,-0.335,0.975,0.041
5.727,-0.295,0.992,0.038
5.732,-0.258,0.978,0.039
5.739,-0.234,0.950,0.044
5.742,-0.207,0.934,0.045
5.747,-0.172,0.928,0.049
5.754,-0.165,0.926,0.039
5.757,-0.163,0.929,0.048
5.764,-0.162,0.923,0.050
5.767,-0.153,0.929,0.051
5.772,-0.150,0.929,0.057
5.777,-0.163,0.944,0.063
5.782,-0.180,0.949,0.063
5.788,-0.216,0.969,0.061
5.792,-0.227,0.978,0.051
5.797,-0.244,0.988,0.050
5.804,-0.245,0.995,0.054
5.807,-0.257,0.991,0.063
5.815,-0.270,0.983,0.060
5.817,-0.272,0.983,0.067
5.823,-0.279,0.979,0.069
5.828,-0.274,0.975,0.065
5.834,-0.271,0.974,0.055
5.839,-0.273,0.966,0.044
5.843,-0.274,0.962,0.045
6.070,-0.268,0.959,0.031
6.072,-0.250,0.959,0.031
6.074,-0.247,0.966,0.021
6.076,-0.240,0.964,0.026
6.078,-0.227,0.958,0.036
6.080,-0.222,0.956,0.039
6.082,-0.220,0.956,0.041
6.084,-0.219,0.958,0.052
6.086,-0.217,0.952,0.053
6.088,-0.216,0.953,0.070
6.089,-0.220,0.948,0.059
6.091,-0.227,0.948,0.060
6.092,-0.264,0.967,0.059
6.095,-0.257,0.959,0.063
6.097,-0.259,0.956,0.062
6.099,-0.259,0.956,0.051
6.100,-0.263,0.954,0.057
6.102,-0.253,0.955,0.060
6.138,-0.252,0.953,0.065
6.140,-0.251,0.948,0.064
