time,x,y,z
5.001,0.041,0.974,-0.112
5.009,0.044,0.975,-0.112
5.010,0.046,0.974,-0.111
5.013,0.049,0.975,-0.102
5.015,0.055,0.974,-0.099
5.017,0.059,0.979,-0.103
5.018,0.057,0.974,-0.103
5.020,0.061,0.982,-0.110
5.022,0.060,0.986,-0.104
5.024,0.065,0.987,-0.103
5.026,0.072,0.987,-0.106
5.290,0.071,0.994,-0.119
5.291,0.065,0.992,-0.113
5.293,0.061,0.990,-0.101
5.295,0.065,0.987,-0.109
5.297,0.065,0.983,-0.107
5.298,0.061,0.983,-0.094
5.300,0.056,0.974,-0.106
5.302,0.058,0.979,-0.104
5.303,0.061,0.972,-0.102
5.305,0.063,0.969,-0.105
5.307,0.057,0.970,-0.098
5.308,0.056,0.968,-0.100
5.310,0.040,0.986,-0.083
5.312,0.045,0.988,-0.089
5.314,0.047,0.984,-0.087
5.316,0.046,0.979,-0.094
5.318,0.055,0.976,-0.101
5.319,0.052,0.975,-0.099
5.328,0.049,0.982,-0.097
5.328,0.051,0.977,-0.097
5.332,0.049,0.983,-0.087
5.337,0.052,0.988,-0.088
5.342,0.048,0.982,-0.094
5.347,0.049,0.983,-0.096
5.352,0.043,0.987,-0.092
5.357,0.036,0.985,-0.095
5.362,0.034,0.981,-0.092
5.367,0.039,0.976,-0.099
5.373,0.032,0.976,-0.098
5.378,0.034,0.974,-0.096
5.383,0.028,0.970,-0.097
5.388,0.024,0.971,-0.097
5.392,0.027,0.969,-0.095
5.397,0.034,0.972,-0.095
5.402,0.028,0.973,-0.095
5.408,0.030,0.973,-0.101
5.412,0.030,0.975,-0.092
5.418,0.033,0.976,-0.092
5.425,0.028,0.984,-0.093
5.428,0.024,0.987,-0.100
5.434,0.024,0.988,-0.090
5.438,0.025,0.993,-0.100
5.444,0.018,0.993,-0.103
5.448,0.017,0.994,-0.107
5.454,0.016,0.992,-0.100
5.458,0.016,0.988,-0.097
5.463,0.012,0.989,-0.096
5.469,0.013,0.987,-0.098
5.474,0.009,0.985,-0.104
