time,x,y,z
5.008,-0.132,0.985,0.053
5.023,-0.138,0.984,0.048
5.035,-0.140,0.985,0.042
5.055,-0.147,0.989,0.040
5.072,-0.149,0.989,0.042
5.078,-0.144,0.988,0.044
5.086,-0.144,0.988,0.047
5.100,-0.142,0.987,0.046
5.114,-0.141,0.984,0.042
5.127,-0.141,0.983,0.038
5.142,-0.143,0.984,0.038
5.156,-0.143,0.987,0.042
5.169,-0.138,0.986,0.045
5.182,-0.155,0.987,0.033
5.198,-0.161,0.988,0.035
5.211,-0.152,0.987,0.040
5.225,-0.147,0.983,0.039
5.240,-0.144,0.983,0.038
5.255,-0.146,0.990,0.041
5.269,-0.151,0.987,0.042
5.282,-0.151,0.984,0.043
5.297,-0.146,0.980,0.043
5.310,-0.142,0.981,0.039
5.324,-0.139,0.985,0.039
5.335,-0.142,0.986,0.039
5.348,-0.145,0.984,0.038
5.361,-0.146,0.983,0.039
5.374,-0.146,0.986,0.042
5.396,-0.146,0.987,0.041
5.397,-0.144,0.986,0.036
5.409,-0.142,0.984,0.034
5.423,-0.141,0.984,0.036
5.435,-0.141,0.989,0.037
5.449,-0.144,0.988,0.034
5.464,-0.146,0.986,0.033
5.478,-0.147,0.984,0.034
5.491,-0.147,0.985,0.031
5.506,-0.147,0.987,0.031
5.519,-0.144,0.986,0.029
5.532,-0.144,0.986,0.029
5.547,-0.143,0.985,0.030
5.560,-0.144,0.985,0.030
5.574,-0.141,0.979,0.030
5.588,-0.141,0.980,0.031
5.602,-0.144,0.985,0.029
5.616,-0.159,0.999,0.028
5.632,-0.162,0.996,0.025
5.645,-0.163,0.996,0.026
5.659,-0.172,0.992,0.026
5.674,-0.153,0.994,0.031
5.688,-0.144,0.985,0.013
5.701,-0.135,0.981,0.000
5.714,-0.138,0.983,0.018
5.727,-0.144,0.989,0.021
5.740,-0.145,0.989,0.019
5.753,-0.144,0.988,0.022
5.765,-0.144,0.986,0.025
5.790,-0.140,0.986,0.015
5.800,-0.139,0.986,0.015
5.811,-0.141,0.977,0.011
5.824,-0.145,0.976,0.008
5.838,-0.150,0.977,0.009
5.851,-0.149,0.979,0.012
5.863,-0.145,0.986,0.008
5.875,-0.145,0.986,0.007
5.886,-0.148,0.989,0.007
5.900,-0.150,0.989,0.008
5.915,-0.155,0.984,0.008
5.930,-0.155,0.983,0.008
5.945,-0.152,0.983,0.007
5.958,-0.145,0.986,0.009
5.971,-0.142,0.984,0.008
5.983,-0.139,0.986,0.009
5.995,-0.142,0.989,0.008
6.009,-0.152,0.993,0.008
6.025,-0.154,0.991,0.008
6.039,-0.162,0.989,0.002
6.054,-0.159,0.982,0.007
6.067,-0.156,0.981,0.006
6.080,-0.148,0.983,0.006
6.091,-0.146,0.986,0.006
6.106,-0.148,0.985,0.003
6.120,-0.149,0.985,0.002
6.133,-0.149,0.983,0.007
6.147,-0.146,0.979,0.009
6.158,-0.143,0.980,0.009
6.194,-0.133,0.985,0.013
6.194,-0.119,0.984,0.013
6.201,-0.136,0.986,0.013
6.215,-0.139,0.985,0.004
6.228,-0.144,0.987,0.001
6.243,-0.146,0.986,-0.003
6.256,-0.153,0.986,-0.004
6.272,-0.151,0.990,0.001
6.286,-0.146,1.000,0.008
6.300,-0.156,0.995,0.008
6.314,-0.175,0.986,0.001
6.329,-0.195,0.975,-0.007
6.341,-0.194,0.977,-0.006
6.355,-0.173,0.986,0.006
6.369,-0.164,0.990,0.002
6.383,-0.161,0.987,-0.002
6.411,-0.157,0.980,-0.003
6.411,-0.155,0.979,-0.002
6.424,-0.152,0.985,-0.008
6.438,-0.161,0.992,-0.016
6.452,-0.156,0.990,-0.022
6.468,-0.153,0.984,-0.017
6.483,-0.151,0.983,-0.012
6.497,-0.149,0.990,-0.015
6.511,-0.148,0.993,-0.019
6.526,-0.137,0.990,-0.024
6.539,-0.139,0.985,-0.025
6.552,-0.158,0.980,-0.033
6.566,-0.159,0.979,-0.035
6.579,-0.152,0.985,-0.033
6.591,-0.151,0.991,-0.036
6.603,-0.150,1.000,-0.053
6.618,-0.147,1.000,-0.061
6.631,-0.151,0.991,-0.076
6.644,-0.141,0.972,-0.080
6.658,-0.139,0.964,-0.083
6.672,-0.131,0.956,-0.091
6.685,-0.131,0.958,-0.099
6.698,-0.148,0.973,-0.120
6.710,-0.145,0.979,-0.128
6.723,-0.135,0.986,-0.133
6.739,-0.117,0.987,-0.134
6.766,-0.111,0.991,-0.138
6.767,-0.106,0.997,-0.146
6.779,-0.102,0.997,-0.148
6.790,-0.097,1.000,-0.146
6.803,-0.094,0.998,-0.145
6.815,-0.089,0.986,-0.143
6.827,-0.083,0.975,-0.143
6.840,-0.081,0.964,-0.145
6.855,-0.080,0.954,-0.157
6.868,-0.078,0.957,-0.177
6.880,-0.080,0.960,-0.181
6.893,-0.078,0.966,-0.190
6.907,-0.079,0.969,-0.190
6.919,-0.081,0.975,-0.188
6.932,-0.086,0.979,-0.183
6.945,-0.107,0.982,-0.173
6.956,-0.103,0.978,-0.170
6.971,-0.095,0.965,-0.165
6.984,-0.098,0.957,-0.161
6.997,-0.087,0.941,-0.154
7.011,-0.092,0.938,-0.147
7.027,-0.081,0.932,-0.138
7.042,-0.067,0.928,-0.140
7.055,-0.064,0.930,-0.144
7.069,-0.062,0.934,-0.141
7.083,-0.051,0.932,-0.119
7.097,-0.046,0.926,-0.098
7.111,-0.041,0.901,-0.049
7.125,-0.042,0.889,-0.028
7.161,-0.071,0.906,-0.003
7.161,-0.071,0.941,-0.038
7.162,-0.087,0.965,-0.077
7.175,-0.105,0.981,-0.121
7.204,-0.131,0.993,-0.159
7.205,-0.101,0.996,-0.141
7.213,-0.018,1.037,-0.048
7.226,0.015,1.071,0.006
7.238,0.055,1.135,0.018
7.251,0.021,1.176,-0.042
7.265,-0.096,1.223,-0.263
7.278,-0.155,1.181,-0.325
7.292,-0.239,0.992,-0.191
7.307,-0.204,0.862,0.046
7.320,-0.171,0.835,0.107
7.334,-0.134,0.839,0.085
7.347,-0.115,0.920,-0.038
7.361,-0.116,0.975,-0.095
7.375,-0.088,1.001,-0.103
7.387,-0.097,0.985,-0.080
7.400,-0.145,0.937,-0.063
7.413,-0.166,0.921,-0.055
7.429,-0.183,0.938,0.002
7.442,-0.174,0.975,0.052
7.455,-0.153,0.990,0.061
7.469,-0.096,1.001,0.067
7.484,-0.063,1.002,0.079
7.496,-0.012,1.011,0.102
7.510,-0.000,1.017,0.095
7.530,0.019,0.997,0.076
7.540,0.042,0.989,0.052
7.547,0.051,0.989,0.039
7.557,0.045,0.989,0.054
7.570,0.037,0.989,0.083
7.582,0.030,0.961,0.094
7.594,0.004,0.953,0.066
7.608,-0.071,0.947,0.017
7.623,-0.095,0.943,0.017
7.638,-0.101,0.933,0.090
7.653,-0.069,0.927,0.090
7.668,-0.021,0.911,0.000
7.682,0.004,0.905,0.000
7.695,0.049,0.883,0.027
7.711,0.063,0.868,0.023
7.726,0.057,0.884,0.012
7.738,0.054,0.899,0.031
7.751,0.046,0.916,0.011
7.766,0.065,0.914,-0.066
7.779,0.032,0.830,-0.074
7.792,0.009,0.766,-0.009
7.806,-0.007,0.683,0.072
7.820,0.004,0.668,0.017
7.833,0.035,0.678,0.036
7.848,0.108,0.761,-0.187
7.861,0.105,0.846,-0.452
7.873,0.046,0.754,-0.253
7.890,0.047,0.660,0.028
7.900,0.007,0.520,0.173
7.913,-0.043,0.502,0.046
7.927,-0.141,0.552,-0.408
7.940,-0.147,0.655,-0.646
7.955,-0.146,0.696,-0.637
7.969,-0.025,0.670,-0.190
7.983,0.120,0.619,0.252
7.998,0.091,0.521,0.375
8.014,0.003,0.407,0.250
8.027,-0.085,0.389,0.083
8.043,-0.080,0.426,0.044
8.056,0.003,0.540,-0.035
8.070,0.023,0.733,-0.630
8.084,0.078,0.855,-0.590
8.117,0.207,1.007,-0.233
8.117,0.307,0.864,0.058
8.126,0.379,0.752,0.115
8.137,0.467,0.638,0.111
8.152,0.491,0.595,0.120
8.162,0.519,0.544,0.099
8.175,0.580,0.425,0.036
8.190,0.585,0.360,-0.002
8.203,0.500,0.091,-0.205
8.222,1.229,0.138,-0.557
8.235,0.693,2.000,-0.774
8.250,1.414,2.000,1.780
8.264,1.598,2.000,2.000
8.281,1.463,1.124,0.064
8.297,0.908,0.397,-0.170
8.311,-0.054,0.843,-1.135
8.328,-0.783,1.223,-0.885
8.342,-1.259,1.311,-0.277
8.356,-1.243,0.818,0.856
8.371,-0.761,1.274,0.068
8.387,-0.518,1.898,1.336
8.401,1.854,-1.451,-0.294
8.414,2.000,-2.000,2.000
8.430,-1.487,-1.317,2.000
8.443,0.313,1.080,2.000
8.457,1.050,0.763,0.717
8.473,0.924,0.771,0.002
8.488,0.660,0.759,-1.447
8.502,0.200,-0.599,-1.551
8.521,-0.670,-1.619,0.827
8.535,-0.146,-0.467,2.000
8.547,-0.194,0.043,2.000
8.562,0.021,-0.014,1.756
8.582,0.094,-0.021,1.380
8.583,0.204,-0.059,1.082
8.595,0.052,0.007,1.127
8.608,0.087,0.009,1.143
8.622,0.284,-0.054,0.927
8.637,0.202,-0.029,1.069
8.649,0.024,0.012,1.079
8.662,-0.080,0.031,1.086
8.677,-0.073,0.026,1.002
8.691,-0.059,0.003,1.031
8.704,-0.018,-0.012,1.010
8.715,0.050,-0.016,1.041
8.727,0.032,-0.025,1.032
8.739,0.022,-0.025,0.987
8.751,0.006,-0.029,0.979
8.763,0.008,-0.037,1.012
8.775,0.032,-0.017,1.001
8.787,0.066,-0.015,1.018
8.799,0.047,-0.025,1.040
8.810,0.007,-0.058,1.038
8.823,0.038,-0.040,1.020
8.835,0.101,-0.041,1.072
8.848,0.125,-0.029,1.116
8.860,0.298,0.097,1.108
8.873,0.289,0.172,1.148
8.891,0.157,0.284,1.355
8.902,0.639,0.311,1.249
8.915,0.836,0.351,1.098
8.924,0.522,0.256,0.889
8.937,0.301,0.034,0.600
8.951,0.099,-0.077,0.503
8.965,-0.123,-0.297,0.544
8.978,-0.279,-0.310,0.629
8.991,-0.366,-0.515,0.928
9.004,-0.126,-0.536,0.998
9.017,-0.010,-0.483,0.850
9.029,0.086,-0.436,0.638
9.043,0.088,-0.264,0.846
