time,x,y,z
5.007,-0.184,0.977,-0.058
5.016,-0.184,0.977,-0.056
5.028,-0.182,0.977,-0.056
5.040,-0.182,0.980,-0.058
5.052,-0.182,0.981,-0.061
5.069,-0.180,0.987,-0.057
5.080,-0.183,0.987,-0.049
5.091,-0.188,0.985,-0.047
5.098,-0.191,0.978,-0.057
5.110,-0.189,0.976,-0.054
5.121,-0.188,0.974,-0.050
5.132,-0.193,0.976,-0.043
5.144,-0.198,0.980,-0.045
5.156,-0.201,0.981,-0.053
5.168,-0.204,0.980,-0.063
5.178,-0.199,0.977,-0.058
5.190,-0.197,0.975,-0.054
5.243,-0.193,0.977,-0.057
5.243,-0.191,0.980,-0.058
5.244,-0.190,0.984,-0.055
5.245,-0.195,0.988,-0.050
5.250,-0.193,0.986,-0.054
5.260,-0.188,0.980,-0.049
5.274,-0.186,0.977,-0.041
5.290,-0.188,0.972,-0.037
5.302,-0.189,0.972,-0.042
5.315,-0.193,0.975,-0.042
5.329,-0.195,0.977,-0.040
5.343,-0.188,0.980,-0.044
5.354,-0.183,0.983,-0.048
5.367,-0.169,0.991,-0.047
5.379,-0.170,0.997,-0.039
5.391,-0.178,0.996,-0.031
5.403,-0.185,0.990,-0.033
5.417,-0.206,0.977,-0.034
5.430,-0.213,0.974,-0.035
5.442,-0.220,0.973,-0.035
5.455,-0.222,0.977,-0.034
5.467,-0.225,0.983,-0.042
5.494,-0.225,0.979,-0.048
5.495,-0.222,0.973,-0.053
5.510,-0.207,0.964,-0.056
5.518,-0.202,0.967,-0.054
5.528,-0.199,0.981,-0.049
5.541,-0.196,0.983,-0.050
5.556,-0.194,0.988,-0.051
5.565,-0.196,0.987,-0.051
5.578,-0.194,0.984,-0.048
5.590,-0.196,0.981,-0.045
5.606,-0.196,0.977,-0.044
5.619,-0.196,0.976,-0.044
5.635,-0.202,0.974,-0.049
5.649,-0.209,0.975,-0.054
5.662,-0.213,0.976,-0.056
5.676,-0.219,0.972,-0.061
5.691,-0.221,0.974,-0.059
5.703,-0.219,0.976,-0.058
5.717,-0.211,0.981,-0.051
5.730,-0.206,0.982,-0.052
5.742,-0.201,0.978,-0.062
5.755,-0.197,0.975,-0.060
5.778,-0.195,0.969,-0.053
5.784,-0.196,0.969,-0.053
5.795,-0.205,0.981,-0.059
5.810,-0.207,0.986,-0.064
5.821,-0.210,0.987,-0.064
5.833,-0.207,0.984,-0.060
5.847,-0.203,0.974,-0.054
5.861,-0.201,0.970,-0.053
5.872,-0.201,0.970,-0.048
5.887,-0.206,0.971,-0.050
5.900,-0.214,0.980,-0.058
5.912,-0.216,0.980,-0.059
5.925,-0.224,0.977,-0.062
5.941,-0.217,0.972,-0.062
5.955,-0.215,0.971,-0.064
5.970,-0.210,0.973,-0.066
5.983,-0.211,0.975,-0.064
5.997,-0.211,0.978,-0.065
6.011,-0.214,0.981,-0.063
6.024,-0.214,0.980,-0.062
6.041,-0.221,0.981,-0.063
6.056,-0.214,0.977,-0.072
6.071,-0.210,0.978,-0.070
6.085,-0.210,0.983,-0.069
6.100,-0.209,0.981,-0.066
6.117,-0.208,0.975,-0.060
6.130,-0.207,0.970,-0.063
6.143,-0.210,0.966,-0.066
6.157,-0.203,0.961,-0.074
6.171,-0.201,0.960,-0.075
6.184,-0.196,0.974,-0.070
6.198,-0.201,0.996,-0.070
6.211,-0.205,1.000,-0.069
6.228,-0.211,0.994,-0.072
6.242,-0.213,0.978,-0.074
